gsm,title,characteristics,cell_line,treatment,cell_line_matched,norm_key,Sample,Molecular Subtype,GI50
GSM1160723,HeyA8-(1),"['cell line: HeyA8', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",HeyA8,control,HeyA8,HEYA8,HeyA8,Mes,4.465e-05
GSM1160724,HeyA8-(1)b,"['cell line: HeyA8', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",HeyA8,control,HeyA8,HEYA8,HeyA8,Mes,4.465e-05
GSM1160725,HeyA8-(2),"['cell line: HeyA8', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",HeyA8,control,HeyA8,HEYA8,HeyA8,Mes,4.465e-05
GSM1160726,HeyA8-(2)b,"['cell line: HeyA8', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",HeyA8,control,HeyA8,HEYA8,HeyA8,Mes,4.465e-05
GSM1160727,HeyA8-(3),"['cell line: HeyA8', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",HeyA8,control,HeyA8,HEYA8,HeyA8,Mes,4.465e-05
GSM1160728,HeyA8+(1),"['cell line: HeyA8', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",HeyA8,cisplatin,HeyA8,HEYA8,HeyA8,Mes,4.465e-05
GSM1160729,HeyA8+(3),"['cell line: HeyA8', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",HeyA8,cisplatin,HeyA8,HEYA8,HeyA8,Mes,4.465e-05
GSM1160730,HeyC2-(1),"['cell line: HeyC2', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",HeyC2,control,HeyC2,HEYC2,HeyC2,Mes,1.319e-05
GSM1160731,HeyC2-(2),"['cell line: HeyC2', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",HeyC2,control,HeyC2,HEYC2,HeyC2,Mes,1.319e-05
GSM1160732,HeyC2-(3),"['cell line: HeyC2', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",HeyC2,control,HeyC2,HEYC2,HeyC2,Mes,1.319e-05
GSM1160733,HeyC2+(1),"['cell line: HeyC2', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",HeyC2,cisplatin,HeyC2,HEYC2,HeyC2,Mes,1.319e-05
GSM1160734,HeyC2+(2),"['cell line: HeyC2', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",HeyC2,cisplatin,HeyC2,HEYC2,HeyC2,Mes,1.319e-05
GSM1160735,HeyC2+(3),"['cell line: HeyC2', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",HeyC2,cisplatin,HeyC2,HEYC2,HeyC2,Mes,1.319e-05
GSM1160736,A2780-(1),"['cell line: A2780', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",A2780,control,A2780,A2780,A2780,Stem-A,2.91e-06
GSM1160737,A2780-(2),"['cell line: A2780', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",A2780,control,A2780,A2780,A2780,Stem-A,2.91e-06
GSM1160738,A2780-(3),"['cell line: A2780', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",A2780,control,A2780,A2780,A2780,Stem-A,2.91e-06
GSM1160739,A2780+(1),"['cell line: A2780', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",A2780,cisplatin,A2780,A2780,A2780,Stem-A,2.91e-06
GSM1160740,A2780+(2),"['cell line: A2780', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",A2780,cisplatin,A2780,A2780,A2780,Stem-A,2.91e-06
GSM1160741,A2780+(3),"['cell line: A2780', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",A2780,cisplatin,A2780,A2780,A2780,Stem-A,2.91e-06
GSM1160742,OVCA420-(1),"['cell line: OVCA420', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",OVCA420,control,OVCA420,OVCA420,OVCA 420,Stem-B,4.307e-05
GSM1160743,OVCA420-(2),"['cell line: OVCA420', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",OVCA420,control,OVCA420,OVCA420,OVCA 420,Stem-B,4.307e-05
GSM1160744,OVCA420-(3),"['cell line: OVCA420', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 1']",OVCA420,control,OVCA420,OVCA420,OVCA 420,Stem-B,4.307e-05
GSM1160745,OVCA420+(1),"['cell line: OVCA420', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 1']",OVCA420,cisplatin,OVCA420,OVCA420,OVCA 420,Stem-B,4.307e-05
