cell_line,GI50,Molecular Subtype,logGI50
A2008,4.86e-06,Stem-B,-17.65061225549312
A2780,2.91e-06,Stem-A,-18.390549416190616
C13,4.713e-05,Stem-B,-14.372994793083546
CH1,1.45e-06,Stem-A,-19.395515669083963
DOV13,5.187e-05,Mes,-14.234740104735462
DOV13A,5.187e-05,Mes,-14.234740104735462
DOV13B,5.187e-05,Mes,-14.234740104735462
FU-OV-1,1.141e-05,Stem-A,-16.419341682810217
HeyA8,4.465e-05,Mes,-14.450980299090313
HeyC2,1.319e-05,Mes,-16.210195909847354
IGROV-1,8.95e-06,Stem-A,-16.76968088694728
JHOS-2,0.00013479,Epi-A,-12.856998911854305
JHOS-3,4.143e-05,Epi-B,-14.558964654119691
OAW28,3.428e-05,Mes,-14.8322733649864
OAW42,2.94e-06,Stem-A,-18.375752414262536
OV56,2.069e-05,Mes,-15.560706829238889
OV90,7.9e-06,Stem-B,-16.94971591603443
OVCA420,4.307e-05,Stem-B,-14.502957150857041
OVCA429,8.354e-05,Epi-A,-13.547173330936106
OVCA432,2.528e-05,Epi-B,-15.271644010921795
OVCA433,0.00020198,Epi-A,-12.273499934737345
OVCAR-10,4.148e-05,Stem-A,-14.557224580285673
OVCAR-8,3.312e-05,Epi-A,-14.881937801599573
PA-1,3.01e-06,Stem-A,-18.341805082339196
RMG-I,2.634e-05,Epi-A,-15.212385128842385
RMG-II,3.179e-05,Epi-A,-14.941067457960923
TAYA,2.869e-05,Epi-A,-15.089092506330234
TOV-112D,5.98e-06,Stem-A,-17.351423084900794
TYK-nu,1.471e-05,Mes,-16.05284322784407
UWB1.289,1.606e-05,Epi-A,-15.926168581581585
