gene,logFC,pval,adj_p,neg_log10_adj_p
ABHD5,0.7444734333333347,0.0007685389131627665,0.7223490723059768,0.14125288062942037
ACTBL2,1.668936866666666,0.0072845570094796615,0.7223490723059768,0.14125288062942037
ADAM22,-1.2499225666666653,0.009108496398030963,0.7553569094779913,0.12184779381310676
ADAM9,1.054583150000001,0.0072845570094796615,0.7223490723059768,0.14125288062942037
ALCAM,2.347625700000002,0.0028272720911168077,0.7223490723059768,0.14125288062942037
ALDH1A3,1.8057026499999997,0.0028272720911168077,0.7223490723059768,0.14125288062942037
ALG14,0.6293789166666652,0.0072845570094796615,0.7223490723059768,0.14125288062942037
ANXA3,2.358886983333333,0.0072845570094796615,0.7223490723059768,0.14125288062942037
AP1S3,1.4504701500000001,0.0072845570094796615,0.7223490723059768,0.14125288062942037
APOL1,1.8924392999999995,0.0036105143123296027,0.7223490723059768,0.14125288062942037
APOL6,1.7918139166666665,0.004586392080253494,0.7223490723059768,0.14125288062942037
ARAP2,1.7601251666666666,0.004586392080253494,0.7223490723059768,0.14125288062942037
ARHGAP28,-3.1313255333333347,0.00024612812790522973,0.7223490723059768,0.14125288062942037
ARHGDIB,3.138795250000001,0.009108496398030963,0.7553569094779913,0.12184779381310676
ARID2,-2.3017296333333315,0.004586392080253494,0.7223490723059768,0.14125288062942037
ARNTL2,1.749034783333335,0.0022022199424970783,0.7223490723059768,0.14125288062942037
ARSE,-1.9581300000000006,0.00579535854433471,0.7223490723059768,0.14125288062942037
ASAP2,0.9913077500000007,0.009108496398030963,0.7553569094779913,0.12184779381310676
ASPH,1.0616278999999995,0.0022022199424970783,0.7223490723059768,0.14125288062942037
B2M,1.377027533333333,0.009108496398030963,0.7553569094779913,0.12184779381310676
B3GALT1,-2.0294748833333327,0.0028272720911168077,0.7223490723059768,0.14125288062942037
B3GNT5,1.6993081666666656,0.004586392080253494,0.7223490723059768,0.14125288062942037
BANK1,1.1695990000000003,0.004586392080253494,0.7223490723059768,0.14125288062942037
