"Gene","Module"
"RNU5E-1","turquoise"
"RNU5D-1","turquoise"
"CP","blue"
"CCND2","turquoise"
"DKK1","turquoise"
"HIST1H2BM","turquoise"
"MAL2","brown"
"ALDH1A1","grey"
"EPCAM","brown"
"SNORA73A","turquoise"
"SPARC","turquoise"
"HIST1H1B","turquoise"
"SNORD3B-1","turquoise"
"ESRP1","brown"
"UCA1","grey"
"RXFP1","blue"
"EMP1","turquoise"
"CDH6","grey"
"SRGN","grey"
"VCAN","grey"
"MFAP5","blue"
"EDIL3","grey"
"MACC1","brown"
"SPP1","blue"
"SLC34A2","blue"
"PLAC8","turquoise"
"HIST1H4K","turquoise"
"PCDH18","turquoise"
"HIST1H3I","turquoise"
"LRRN1","grey"
"UBE2MP1","turquoise"
"SEMA3A","turquoise"
"SNORD45A","turquoise"
"CD24","brown"
"SLC2A3","turquoise"
"SNORD60","turquoise"
"THBS1","turquoise"
"PHGDH","turquoise"
"SERPINE1","turquoise"
"SCARNA17","turquoise"
"HAVCR1","blue"
"EFEMP1","turquoise"
"CLDN16","blue"
"HIST2H2AA4","turquoise"
"IL1A","grey"
"HIST1H4C","turquoise"
"RAB25","brown"
"HIST2H3A","turquoise"
"GJA1","turquoise"
"MPZL2","brown"
"TSPAN1","brown"
"HIST1H3D","turquoise"
"ARHGDIB","grey"
"BCAT1","grey"
"ESM1","turquoise"
"SNORA70","turquoise"
"VIM","turquoise"
"TXNIP","grey"
"ITGB6","brown"
"SNORD33","turquoise"
"DPYSL3","turquoise"
"GDA","blue"
"ZNF667-AS1","grey"
"CDH1","brown"
"EHF","brown"
"LGALS3BP","turquoise"
"NOC2L","turquoise"
"SNORD104","turquoise"
"KRT7","grey"
"KRT19","turquoise"
"RAB1C","turquoise"
"SNORD116-14","turquoise"
"DPP4","blue"
"CD36","grey"
"RPL7L1","turquoise"
"DNAJC15","blue"
"DUSP6","turquoise"
"CLDN6","turquoise"
"TM4SF18","turquoise"
"RNU5A-8P","turquoise"
"PROM1","blue"
"ANKRD1","turquoise"
"AKR1C2","turquoise"
"POLR2E","turquoise"
"HIST1H2AB","turquoise"
"HOXB2","turquoise"
"UCHL1","turquoise"
"PPP2R4","turquoise"
"DDR2","turquoise"
"LAMC2","grey"
"SLC38A2","grey"
"S100A16","turquoise"
"CDH2","turquoise"
"HIST2H2AB","turquoise"
"TMEM109","turquoise"
"SNORA68","turquoise"
"SLC35A4","turquoise"
"FN1","grey"
"HSPB1","turquoise"
"NCAM2","turquoise"
"TM4SF1","grey"
"AAMP","turquoise"
"IFI16","grey"
"TFPI","grey"
"TAX1BP3","turquoise"
"EXOSC5","turquoise"
"TGM2","turquoise"
"LOXL2","turquoise"
"SNRPB","turquoise"
"ANPEP","turquoise"
"CDCA7L","turquoise"
"LIN28A","turquoise"
"SNORD116-24","turquoise"
"SLFN11","turquoise"
"TGFB2","grey"
"MRPL49","turquoise"
"SAMD9","grey"
"ITGA2","turquoise"
"AKR1B10","turquoise"
"PLAT","turquoise"
"GPR110","brown"
"TMEM47","blue"
"GCG","grey"
"COL5A2","turquoise"
"WDR74","turquoise"
"HOOK1","brown"
"IL6","blue"
"FBN2","turquoise"
"PLTP","turquoise"
"CYP24A1","grey"
"SNORA21","turquoise"
"ITGB8","brown"
"TRHDE","grey"
"LRCH2","grey"
"QPCT","blue"
"JAM3","turquoise"
"BICC1","blue"
"SLC7A8","grey"
"RN7SL144P","turquoise"
"TGFBI","turquoise"
"ID3","turquoise"
"MMRN1","turquoise"
"PLP2","grey"
"KLHL4","turquoise"
"BEX1","grey"
"SNORD25","turquoise"
"CAV1","grey"
"KRT8","turquoise"
"IL18","brown"
"GALNT5","turquoise"
"SNORA22","turquoise"
