"Gene","Module","kME","p_kME","GS_logGI50","p_GS"
"MACC1","brown",0.91232369413061,2.25774170560441e-12,0.534125543387035,0.00236413377991956
"ESRP1","brown",0.892797510328424,3.32998453679595e-11,0.43143582209921,0.0172900993066354
"GPR110","brown",0.880961569747822,1.33776423901841e-10,0.59422168179681,0.000535490655074456
"GRHL2","brown",0.877529724028689,1.94823083128156e-10,0.481981659449046,0.00699547291238495
"ITGB8","brown",0.876605862177396,2.15159763280928e-10,0.576868548953696,0.000846680260248131
"MAL2","brown",0.873190056382191,3.08504365240416e-10,0.462800682451598,0.0100166956903735
"MARVELD2","brown",0.867805950430779,5.33385456710486e-10,0.479336031424509,0.00735938654810082
"EPCAM","brown",0.862361987116762,9.06079159763779e-10,0.463910548058352,0.00981606801077481
"CDS1","brown",0.839117823640365,6.92482729326038e-09,0.395453395268767,0.0305415657205509
"CDH1","brown",0.837090786197129,8.14307711478573e-09,0.313852609342945,0.0912238418403723
"MYO5B","brown",0.830353941500306,1.37409990771047e-08,0.337397549229262,0.0682483127072659
"SCNN1A","brown",0.824218757840696,2.17037098131858e-08,0.432869916900684,0.0168816895869765
"MAP7","brown",0.822972693008479,2.3764269794029e-08,0.32139015121563,0.0833073839355747
"ITGB6","brown",0.810964806816355,5.50257647792119e-08,0.63778947297645,0.000149881183617324
"EHF","brown",0.80758422870424,6.8963702280423e-08,0.461741836447465,0.0102113053047928
"TACSTD2","brown",0.80376005252124,8.85653298287309e-08,0.602097719611575,0.000431194179808796
"ST14","brown",0.802287486060681,9.73806490362956e-08,0.414782393764991,0.0226620573359727
"LCN2","brown",0.799674559935277,1.15016339527136e-07,0.569934967647148,0.00100965685084895
"FRK","brown",0.795580977915086,1.48566306212291e-07,0.418417209461148,0.0213858131115865
"S100A14","brown",0.792652345943327,1.7779962189375e-07,0.372116891894549,0.0428735398049752
"SLPI","brown",0.789356451787189,2.16900706335797e-07,0.191910560792514,0.309650334281238
"DAPP1","brown",0.78501470561656,2.80348099047147e-07,0.5279453025507,0.00271286203869609
"TMPRSS4","brown",0.784572446738552,2.87677858705351e-07,0.290036519407543,0.120010868536537
"RAB25","brown",0.780951645220354,3.54575935707462e-07,0.382813076952882,0.036802889226064
"ANKEF1","brown",0.779011338358197,3.95980469660595e-07,0.265149527157498,0.156755949054837
"SPINT1","brown",0.775369264087501,4.8577221462347e-07,0.362198715454886,0.0491933433103402
"HOOK1","brown",0.773773402382538,5.30654626385156e-07,0.152524351562612,0.421029410724445
"CHMP4C","brown",0.766608028988404,7.82385184852489e-07,0.48025769782345,0.00723082972838972
"EPB41L4A","brown",0.751936077487105,1.66309974290903e-06,0.449220604057251,0.0127642053504575
"SCEL","brown",0.744708556817462,2.36672339884299e-06,0.51064416013202,0.00393466903431696
"TC2N","brown",0.740602859453561,2.87719670362185e-06,0.250714261423092,0.181442093525906
"OR2A7","brown",0.738237207528106,3.21467577708356e-06,0.418623763878223,0.0213151020665302
"GALNT3","brown",0.737861766141898,3.27141018676069e-06,0.477329034766494,0.00764604219450635
"DSP","brown",0.736325120921384,3.51318033248766e-06,0.252473794993524,0.178295430477985
"ELOVL7","brown",0.727666260366683,5.20393587390231e-06,0.498621279449793,0.00503864330469123
"SDR42E1","brown",0.725623797928049,5.69710323916769e-06,0.309552811063014,0.0959887527039712
"INADL","brown",0.717270302612737,8.18390974309437e-06,0.326995840260906,0.0777692558905713
"FAM83B","brown",0.716448212422876,8.47508835611524e-06,0.444347329075552,0.0138924741433724
"TSPAN1","brown",0.700892007799853,1.60677862461806e-05,0.442546333001721,0.014329957125769
"TNFSF10","brown",0.699225673502301,1.71666938513447e-05,0.396536254535315,0.0300481253956656
"ANXA3","brown",0.697805419072335,1.81561505239113e-05,0.5630193904929,0.00119888323444565
"AIM1","brown",0.696717688900278,1.8948286117591e-05,0.465067161699524,0.00961059978087189
"GRAMD3","brown",0.69651230503736,1.9101294688337e-05,0.468854383572056,0.00896297736393441
"VGLL1","brown",0.693550350030295,2.14348616368206e-05,0.460726198537026,0.0104009513477179
"VTCN1","brown",0.68408686342651,3.07053913194353e-05,0.34923811020819,0.0585404962144082
"ZNF585B","brown",0.683612855992673,3.12523935317216e-05,0.336727048996488,0.0688333161111653
"RND3","brown",0.68259260595782,3.24595006896748e-05,0.598379611548639,0.000477957315333016
"PTPRK","brown",0.665405169247511,6.0150163298904e-05,0.459328836893622,0.0106667067687425
"CD24","brown",0.657846565572311,7.793393904788e-05,0.136739594509172,0.471202096278295
"CLIP4","brown",0.657742636482503,7.82081015559342e-05,0.658665916341034,7.58023630009076e-05
"EPS8","brown",0.637240974659278,0.00015248732386105,0.599993459613547,0.000457137961202275
"SLFN13","brown",0.637023051915319,0.000153533888456127,0.418748000882592,0.0212726639792012
"ZNF204P","brown",0.636965188984328,0.000153812842631044,0.321821478601852,0.0828708256605648
"CST6","brown",0.616988381882592,0.000281802555383047,0.489887317747726,0.00599762800111874
"IL18","brown",0.615183237444883,0.000297052546819188,0.366521089882606,0.0463540204164116
"NTN4","brown",0.610228772747654,0.000342722940206909,0.51672750662492,0.00346004546603463
"DSG2","brown",0.604787422583447,0.000399927028901684,0.28997922370716,0.12008738606425
"ENPP5","brown",0.603951397426983,0.000409424179582984,0.219128645766081,0.244657130252585
"MPZL2","brown",0.602698640413919,0.000424027675358389,0.429802966382324,0.017765046225831
"IL1R1","brown",0.602646653632315,0.000424643487124814,0.330526819418499,0.0744291417238237
"TPD52L1","brown",0.598986847092697,0.00047002775195213,0.153314930585435,0.418597235404636
"NLRP2","brown",0.598891896807817,0.000471259962623886,0.233504411193213,0.214286050392504
"SLC9A2","brown",0.594239945943005,0.000535225173082747,0.472453929425398,0.00838196358739416
"DENND1B","brown",0.592581917318442,0.00055980301316585,0.587157687128187,0.000647284062151909
"LIMCH1","brown",0.588590506940292,0.000623082200950634,0.442227936932581,0.0144084807585278
"CXCL16","brown",0.587090430198499,0.000648440108432731,0.433365607745754,0.0167423978737711
"DCDC2","brown",0.584340304445612,0.000697290726006357,0.392082591757797,0.0321198265517501
"ACKR2","brown",0.581919223804923,0.000742939093055866,0.256114180218951,0.171907431821105
"MAL","brown",0.576958645302114,0.000844723984444174,0.305554638959308,0.100586122185746
"CD74","brown",0.576094368106092,0.00086365433691388,0.344596700686884,0.0622077117842108
"LRRC16A","brown",0.563672005740736,0.0011797931245708,0.0483772132790567,0.799601956479936
"SLC2A12","brown",0.560898954639904,0.00126278223367687,0.347203875911378,0.0601262920015999
"SEL1L3","brown",0.555815882467176,0.00142818281963822,0.244763953378617,0.192371368725066
"SLC9A4","brown",0.554927195244842,0.00145895829052338,0.281851849661331,0.131311119395327
"STEAP4","brown",0.55245196738149,0.0015477380630033,0.415748114915638,0.0223170297439476
"KRT23","brown",0.547841548016746,0.00172568292594235,0.252309163208934,0.178588211197307
"PLA2G7","brown",0.546926490301023,0.00176303888201189,0.440629432229739,0.0148081462351745
"PTGS1","brown",0.535973583566155,0.00226769517694005,0.11952014409833,0.529294348429411
"RBP7","brown",0.530423778267638,0.00256801875115279,0.238673648962313,0.204022991715868
"CLIC5","brown",0.517593981365882,0.00339662256283919,0.374559190396127,0.0414214596387411
"LY75-CD302","brown",0.517520087753149,0.00340199204253839,0.417926160826435,0.0215546918416897
"CCL28","brown",0.485654454369548,0.00651565504277744,0.0917155507150145,0.62979219844236
"THRB","brown",0.482991542279805,0.00686064554001492,0.240657443618686,0.200175661024931
"DCBLD2","brown",0.445711277338506,0.0135686175602029,0.520129725823351,0.00321672508717161
"ZNF486","brown",0.443657087191193,0.0140588065839485,0.326240776047241,0.0784982457739628
"SMC1B","brown",0.440347771299355,0.0148795157985318,0.0987539419273529,0.603630979742886
"MNS1","brown",0.429075829306975,0.0179799963845268,0.108578501265854,0.567910350761309
"BHLHE41","brown",0.388760227626259,0.0337393968021902,0.300974357943273,0.106054474853083
"RSAD2","brown",0.374135664815165,0.0416704079548563,0.427311886331723,0.0185103949989128
"SYTL2","brown",0.35534480027821,0.0539764994503669,0.286664685926347,0.12457562081808
"PRKAA2","brown",0.335623663948567,0.0698044731581951,0.232604452610134,0.216108154659582
"PLOD2","brown",0.316686809804907,0.0881827718397517,0.166367117654933,0.379587388071682
"SYCP2","brown",0.305914128850373,0.10016609681711,-0.0176634228047543,0.926187444996659
"CDH18","brown",0.295567592381863,0.112792805816135,0.162264944505405,0.391613406579933
